scenario_id,node,method,rank,score
auto_000,54,orc_min,32.5,0.17857142857142838
auto_000,55,orc_min,59.0,0.10439560439560447
auto_000,56,orc_min,5.5,0.35416666666666696
auto_000,57,orc_min,97.0,-0.2222222222222221
auto_000,58,orc_min,95.5,-0.1562500000000001
auto_000,59,orc_min,30.5,0.18452380952380976
auto_000,60,orc_min,91.5,-0.14583333333333326
auto_000,61,orc_min,44.0,0.1483516483516487
auto_000,62,orc_min,64.0,0.05681818181818166
auto_000,63,orc_min,17.0,0.24230769230769234
auto_000,64,orc_min,7.5,0.3412698412698414
auto_000,65,orc_min,26.0,0.18750000000000022
auto_000,66,orc_min,40.5,0.15384615384615397
