model,model_label,panel,slot,node,node_min_curvature,broadcast_probability
v35_curvature_stage2,Curvature Stage-2,mean_500_slots,all,44,3.0,0.0691456887125969
v35_curvature_stage2,Curvature Stage-2,random_slot,246,45,-2.0,0.13254672288894653
v35_curvature_stage2,Curvature Stage-2,mean_500_slots,all,45,-2.0,0.09817403346300126
v35_curvature_stage2,Curvature Stage-2,random_slot,246,46,-7.0,0.07583913207054138
v35_curvature_stage2,Curvature Stage-2,mean_500_slots,all,46,-7.0,0.10845845210552216
v35_curvature_stage2,Curvature Stage-2,random_slot,246,47,-14.0,0.16683858633041382
v35_curvature_stage2,Curvature Stage-2,mean_500_slots,all,47,-14.0,0.12285232782363892
v35_curvature_stage2,Curvature Stage-2,random_slot,246,48,-6.0,0.05529898405075073
v35_curvature_stage2,Curvature Stage-2,mean_500_slots,all,48,-6.0,0.08534572339057922
v35_curvature_stage2,Curvature Stage-2,random_slot,246,49,-9.0,0.056479305028915405
v35_curvature_stage2,Curvature Stage-2,mean_500_slots,all,49,-9.0,0.09521021008491516
v35_curvature_stage2,Curvature Stage-2,random_slot,246,50,-15.0,0.09672266244888306
v35_curvature_stage2,Curvature Stage-2,mean_500_slots,all,50,-15.0,0.11354777932167054
v35_curvature_stage2,Curvature Stage-2,random_slot,246,51,-1.0,0.09039804339408875
v35_curvature_stage2,Curvature Stage-2,mean_500_slots,all,51,-1.0,0.07714955216646194
v35_curvature_stage2,Curvature Stage-2,random_slot,246,52,-8.0,0.1292562484741211
v35_curvature_stage2,Curvature Stage-2,mean_500_slots,all,52,-8.0,0.10075021052360535
v35_curvature_stage2,Curvature Stage-2,random_slot,246,53,-5.0,0.08379462361335754
v35_curvature_stage2,Curvature Stage-2,mean_500_slots,all,53,-5.0,0.08367841029167175
v35_curvature_stage2,Curvature Stage-2,random_slot,246,54,-6.0,0.05630043148994446
